,docs,target,TR,GF
0,sound wonderful want spend time do not power example like compgraphic architecture like compgraphicsalgorithmsd compgraphicsalgorithmsd compgraphicsalgorithmsmisc compgraphicshardware compgraphicsmisc compgraphicssoftwareapps overkill like probably lot happy compgraphicsprogrammer compgraphicshardware compgraphicsapps compgraphicsmisc nice specialized group devote morph raytrace image processing interactive graphic toolkit language object system etc post relevant group mailing list organize way read news do not subject heading disparate system specific stuff compsys composprogrammer need help program modex programming information fast sprite hardware technical stuff speed weitek driver speedstar application orient stuff vistapro help good dstudio good image processing program amiga programming orient stuff fast polygon routine need good morphing alogirhtm want good depth sort triangle library wish power cfd cfv go stuffthis newsgroup need,1,"['stuff', 'system', 'group', 'compgraphicsmisc', 'compgraphicshardware', 'programming', 'orient', 'program', 'image', 'processing', 'compgraphicsalgorithmsd', 'cfd', 'power', 'library', 'time', 'example', 'triangle', 'cfv', 'architecture', 'sort']","['good', 'like', 'stuff', 'need', 'compgraphicsalgorithmsd', 'compgraphicshardware', 'orient', 'compgraphicsmisc', 'help', 'power', 'programming', 'fast', 'program', 'want', 'group', 'system', 'processing', 'image']"
1,reply zazenaustinibmcom welbon atheist lack belief god secondary epistemological consideration accept reliable way know know valid logical argument existence god empirical evidence exist philosopher theologian agree idea god accept faith faith belief sound logical basis empirical evidence reliable way know probably people accept absence possibility proof agree else word faith mean having find person reliable past judge likely reliable source find faith reliable logic empirical evidence assume provide reliable knowledge god difference atheist theist fundamentally faith hold reliable way know agnostic poster one faith god god theist believe faith acceptable basis belief god reject faith reliable time example work scientist atheist believe logic empirical evidence lead reliable knowledge agnosticism defensible position theism atheism sceptic regard knowledge evidence believe god santa claus easter bunny like point atheist do not require absolute knowledge lack god do not believe thing absolute knowledge atheism good simple theory fit lack fact hold contrary evidence find,0,"['god', 'evidence', 'faith', 'knowledge', 'atheist', 'lack', 'way', 'belief', 'atheism', 'basis', 'absence', 'proof', 'possibility', 'word', 'theist', 'fit', 'person', 'judge', 'people', 'source']","['evidence', 'god', 'knowledge', 'find', 'believe', 'lack', 'reliable', 'atheist', 'faith', 'accept', 'know', 'empirical', 'absolute', 'belief', 'theist', 'hold', 'logical', 'atheism', 'agree', 'logic']"
2,do not think need argue yes people try government recognize christianity dominant religion country think motto infringe right share belief actually think government recognize christianity dominant religion country mean do not realizerecognize be not suppose believe teaching christianity people agree discuss hear bit christmas little jesus would not figure prominent holiday associate high degree say association jesus personal level think talk prove people associate christmas importantly jesus think number matter take majority majority power discriminate do not,0,"['jesus', 'people', 'christianity', 'christmas', 'majority', 'religion', 'country', 'matter', 'government', 'associate', 'degree', 'holiday', 'talk', 'number', 'level', 'share', 'motto', 'infringe', 'belief', 'association']","['think', 'jesus', 'people', 'majority', 'christianity', 'associate', 'christmas', 'government', 'recognize', 'dominant', 'religion', 'country']"
3,note newsgroup recent discussion xvs problem hold newsgroup text user find interesting add text collection article read article ago hope author correct problem good fine program worth improve minor idea bit email misundertande understandable juhana kouhia clip delete note save bitrasterize image mean save jpeg like jpegtogiftojpeg quality there s kind bit quantizer final image quality depend situation read jpeg faq ago imho design error confuse error program there s error allow save bitrasterize image jpeg original bit save bitrasterize image instead original bit special case allow save bitrasterize image quantizer main case quantize image good quantizer available save image file lousy quantizer view purpose special case save image clip clip delete limit limit design error design error bitquantizedrasterize image store jpeg jpeg design matter fact sure design bit display know bad error program program bit image time bit image format include program design change support bit image program violate jpeg design bit image format program human interface error otherway drop save image jpeg bit format clearly say special case expect normal use delete clip new item follow clip see quantize image poorly good option default option reason surely quantizer good surprise ppmquant remember test quantizer test find rlequant default good come djpeg fbmquant default order test ppmquant suggeede poorly actually give image bad artifact do not know ppmquant improved expect use xvs good option good idea suggest author change quantizer rlequant sure rlepeople give permission imagemagick test clip clip minor bug human interface key pressings cursor click go buffer happen click error press keyboard cursor wrong place annoy wait image come minute go away immediately buffer clean image complete good idea wait second activate keyboard mouse image complete happen image pop screen quickly write editor key pressing image go weird color editor turn color meter release update image impossible change rgb value update image annoying wait image update set ready suggest add apply button update exchange,1,"['image', 'quantizer', 'bit', 'error', 'clip', 'program', 'design', 'jpeg', 'test', 'update', 'idea', 'change', 'default', 'option', 'keyboard', 'format', 'case', 'cursor', 'editor', 'author']","['update', 'test', 'bitrasterize', 'default', 'ppmquant', 'format', 'wait', 'option', 'limit', 'article', 'newsgroup', 'text', 'click', 'color', 'problem', 'original', 'editor', 'quality', 'cursor', 'complete']"
4,yes serveral program convert font file borland font object consist sphere cone etc I ve program forgot nameplace look convert borland font different raytracer vivid pov polyray like flexibelfasteruse expression etc program lot nice feature interested mail,1,"['borland', 'program', 'font', 'expression', 'flexibelfasteruse', 'polyray', 'pov', 'raytracer', 'forgot', 'sphere', 'cone', 'object', 'file', 'lot', 'mail']","['program', 'font', 'etc', 'borland', 'convert']"
5,can not judge death dead right judge religion having experience people say religion bad account way useful etc do not totally agree course religious folk act expose religion people help way basically judge religion right route give individual general population well personally choose use religionmight hard try find benefit state,0,"['religion', 'way', 'people', 'use', 'population', 'route', 'religionmight', 'experience', 'account', 'course', 'act', 'folk', 'benefit', 'judge', 'state', 'death']","['judge', 'religion', 'right', 'way', 'people']"
6,rixs file extension sci scf raw file color palette byte kind header rix byte unknown stuff byte palette info color rgb picture raw format do not know viewer description vpic able read file,1,"['color', 'palette', 'byte', 'file', 'description', 'format', 'picture', 'rgb', 'info', 'vpic', 'kind', 'header', 'rix', 'stuff', 'sci', 'read', 'extension']","['file', 'byte', 'raw', 'color', 'palette']"
7,dollar can not answer question big bang theory big bang theory recipe cookie dollar hey do not answer sense,0,"['theory', 'bang', 'dollar', 'big', 'cookie', 'question', 'sense']","['answer', 'theory', 'big', 'bang', 'dollar']"
8,deletion deletion universe create way tell tyrannic let one creature like definition god create satan knowledge happen include choice satan explain free go omniscience do not god know happen create world concerned tyrant care fine idea come possibility abuse power god introduce accord description,0,"['god', 'satan', 'creature', 'power', 'abuse', 'possibility', 'definition', 'idea', 'care', 'tyrant', 'way', 'world', 'knowledge', 'choice', 'omniscience', 'deletion', 'universe', 'accord', 'description']","['god', 'deletion', 'create', 'satan', 'happen']"
9,archivename atheismlogic altatheismarchivename logic lastmodifie april version construct logical argument argument usenet general quality argument find poor article attempt provide gentle introduction logic hope improve general level debate logic science reasoning proof thinking inference concise oed logic allow analyze piece reasoning determine correct valid invalid course need study logic order reason correctly little basic knowledge logic helpful construct analyze argument note claim logic universally applicable matter open debate document merely explain use logic give decide logic right tool job proposition statement build block logical argument proposition statement true false example rain today tuesday proposition assert say true deny say false note technical meaning deny everyday mean proposition mean statement particular arrangement word express god exist exist god express proposition argument quote monty python sketch connected series statement establish definite proposition argument consist stage proposition necessary argument continue state call premise argument evidence reason accept argument conclusion premise assertion indicate phrase obviously phrase obviously view suspicion intimidate accept suspicious premise do not obvious do not afraid question yes you re right obvious you ve hear explanation premise derive proposition process known inference inference proposition arrive basis proposition accept form valid inference proposition arrive inference inference inference denote phrase imply finally arrive conclusion argument proposition affirm basis premise inference conclusion indicate phrase follow conclude conclusion state final stage inference example event cause premise universe begin premise beginning involve event premise imply begin universe involve event inference universe cause inference conclusion note conclusion argument premise argument proposition call premise conclusion respect particular argument term sense isolation argument follow order give example conclusion state premise state support conclusion perfectly valid little confusing recognize argument hard recognize premise conclusion people shower write assertion produce reasonably describe argument statement look like argument example bible accurate jesus insane evil liar son god argument conditional statement assert premise necessary support appear conclusion suffer number logical flaw come later example god create duty god phrase duty god proposition true false conclusion sentence argument finally causality important consider statement form interested establish offer evidence statement argument try establish truth argument explanation example wrong engine car start argument car start wrong engine explanation traditional type argument deductive inductive deductive argument provide conclusive proof conclusion argument premise true conclusion true deductive argument valid invalid valid argument define premise true conclusion true inductive argument premise provide evidence truth conclusion inductive argument valid invalid talk well bad argument probable premise form argument ordinary language deductive inductive concentrate moment deductive argument view rigorous convincing important note fact deductive argument valid imply conclusion hold slightly counterintuitive nature implication consider carefully obviously valid argument consist true proposition argument entirely valid contain false proposition example insect wing premise woodlice insect premise woodlice wing conclusion conclusion true argument premise false argument premise true conclusion true argument entirely valid subtly reach true conclusion false premise fish live sea premise dolphin fish premise dolphin live sea conclusion thing reach false conclusion valid inference true premise draw truth table implication symbol denote implication premise conclusion represent true false respectively premise conclusion inference premise false inference valid conclusion true false premise true conclusion false inference invalid premise true inference valid conclusion true sound argument valid argument premise true sound argument arrive true conclusion careful confuse valid argument sound argument delve structure logical argument require lengthy discussion linguistic philosophy simple probably useful summarize major pitfall avoid construct argument pitfall know fallacy everyday english term fallacy refer mistaken belief faulty reasoning lead belief fair logic term generally refer form technically incorrect argument especially argument appear valid convincing purpose discussion define fallacy logical argument appear correct see incorrect examine closely study fallacy aim avoid mislead follow list fallacy intend exhaustive argumentum baculum appeal force appeal force commit arguer resort force threat force order try push acceptance conclusion politician summarize make right force threaten need direct threat arguer example ample proof truth bible refuse accept truth burn hell argumentum hominem argumentum hominem literally argument direct man abusive variety argumentum hominem occur instead try disprove truth assertion arguer attack person people make assertion invalid truth assertion depend goodness assert example atheism evil philosophy practise communist murderer court law doubt cast testimony witness show example know perjurer valid way reduce credibility testimony give witness argumentum hominem demonstrate witnesss testimony false conclude fall victim argumentum ignorantiam list circumstantial form argumentum hominem commit person argue opponent ought accept truth assertion opponent particular circumstance example perfectly acceptable kill animal food argue you re happy wear leather shoe abusive charge inconsistency excuse dismiss opponent argument fallacy mean reject conclusion example course argue positive discrimination bad thing you re white particular form argumentum hominem allege one adversary rationalize conclusion form selfish interest know poison argumentum ignorantium argumentum ignorantium mean argument ignorance fallacy occur argue true simply prove false equivalently argue false prove true note assume false proved true basic scientific principle example course bible true prove course telepathy psychic phenomenon exist show proof real note fallacy apply court law generally assume innocent prove guilty scientific investigation know event produce certain evidence having occur absence evidence validly infer event occur example flood describe bible require enormous volume water present earth earth tenth water count frozen ice pole flood occur science validly assume lack evidence occur conclude certainty occur argumentum misericordiam appeal pity know special pleading fallacy commit arguer appeal pity sake get conclusion accept example murder mother father axe do not find guilty suffering orphan argumentum populum know appeal gallery appeal people commit fallacy attempt win acceptance assertion appeal large group people form fallacy characterize emotive language example pornography ban violence woman bible true million people know try tell mistaken fool argumentum numeram fallacy closely relate argumentum populum consist assert people support believe proposition likely proposition correct argumentum verecundiam appeal authority use admiration famous try win support assertion example isaac newton genius believe god line argument completely bogus example reference admit authority particular field relevant discussion subject example distinguish clearly stephen hawk conclude black hole radiation john searle conclude impossible build intelligent computer hawk physicist reasonably expect opinion black hole radiation inform searle linguist questionable wellqualifie speak subject machine intelligence fallacy accident fallacy accident commit general rule apply particular case accidental circumstance mean rule inapplicable error go general specific example christian generally dislike atheist christian dislike atheist fallacy committed moralist legalist try decide moral legal question mechanically apply general rule converse accident hasty generalization fallacy reverse fallacy accident occur form general rule examine specific case representative possible case example jim bakker insincere christian christians insincere sweeping generalization dicto simpliciter sweep generalization occur general rule apply particular situation feature particular situation render rule inapplicable sweep generalization opposite hasty generalization non causa pro causa post hoc ergo propter hoc know false cause fallacy fallacy non causa pro causa occur identifie cause event actually show cause example take aspirin pray god headache disappear god cure headache fallacy post hoc ergo propter hoc occur assume cause event merely happen event example soviet union collapse take atheism avoid atheism reason cum hoc ergo propter hoc fallacy similar post hoc ergo propter hoc assert event occur causally relate leave room factor cause event petitio principii fallacy occur premise questionable conclusion reach circulus demonstrando fallacy occur assume premise conclusion wish reach proposition rephrased fallacy appear valid argument example homosexual allow hold government office government official reveal homosexual lose job homosexual hide secret open blackmail homosexual allow hold government office note argument entirely circular premise conclusion argument like actually cite reason british secret service official ban homosexual employee example classic know god exist bible tell know bible true word god complex question fallacy interrogation fallacy presupposition example classic loaded question stop beat wife question presuppose definite answer question ask trick lawyer crossexamination ask question like hide money steal similarly politician ask loaded question long interference affair allow continue chancellor plan year ruinous privatization ignoratio elenchi fallacy irrelevant conclusion consist claim argument support particular conclusion actually logically conclusion example christian begin say argue teaching christianity undoubtably true argue length christianity great help people matter argue show christian teaching true sadly fallacious argument successful arouse emotion cause view suppose conclusion favourable light equivocation equivocation occur key word different meaning argument example affordable free software sure remain free user like place license sure freely redistributable amphiboly amphiboly occur premise argument ambiguous careless ungrammatical phrasing accent accent form fallacy shift meaning case mean change alter part statement emphasize example consider speak ill friend speak ill friend fallacie composition fallacy composition conclude property share part apply example bicycle entirely low mass component lightweight fallacy composition conclude property number individual item share collection item example car use petrol cause pollution bus car environmentally damaging bus fallacy division fallacy division opposite fallacy composition like opposite exist variety assume property thing apply part example study rich college rich assume property collection item share item example ant destroy tree ant destroy tree slippery slope argument argument state event occur harmful event proof harmful event cause event example legalize marijuana legalize crack heroin nation drugaddict welfare legalize marijuana base fallacies type fallacy fallacy occur attempt argue thing way similar actually specify way similar example be not history base faith be not bible form history islam base faith christianity base faith be not islam form christianity cat form animal base carbon chemistry dog form animal base carbon chemistry be not dog form cat affirmation consequent fallacy argument form imply true true understand fallacy examine truth table implication give early denial antecedent fallacy argument form imply false false truth table implication make clear fallacy note fallacy different non causa pro causa form imply false false fact imply problem implication invalid falseness allow deduce convert conditional fallacy argument form argumentum antiquitam fallacy assert right good simply old that s way argumentum novitam opposite argumentum antiquitam fallacy assert correct simply new new argumentum crumenam fallacy believe money criterion correctness money likely right argumentum lazarum fallacy assume poor sounder virtuous wealthy fallacy opposite argumentum crumenam argumentum nauseam incorrect belief assertion likely true hear argumentum nauseum employ constant repetition assert bifurcation refer black white fallacy bifurcation occur present situation have alternative fact alternative exist exist plurium interrogationum question fallacy occur questioner demand simple answer complex question non sequitur nonsequitur argument conclusion draw premise logically connect red herring fallacy commit irrelevant material introduce issue discuss everyone attention divert away point different conclusion reification hypostatization reification occur abstract concept treat concrete thing shift burden proof burden proof person make assertion proposition shift burden proof special case argumentum ignorantium fallacy put burden proof person deny question assertion source fallacy assumption true prove straw man straw man fallacy misrepresent else position attack easily knock misrepresented position conclude original position demolish fallacy fail deal actual argument extend analogy fallacy extend analogy occur suggest general rule argue fallacy assume mention different situation argument general rule constitute claim situation analogous fallacy well explain real example debate anticryptography legislation believe wrong oppose law breaking position odious imply support martin luther king say cryptography legislation important struggle black liberation dare quoque famous fallacy occur action argue acceptable party perform instance you re randomly abusive you ve abusive,0,"['fallacy', 'argument', 'example', 'conclusion', 'argumentum', 'premise', 'question', 'form', 'proposition', 'assertion', 'logic', 'event', 'god', 'statement', 'truth', 'note', 'people', 'conclude', 'bible', 'inference']","['inference', 'hoc', 'logic', 'base', 'deductive', 'force', 'homosexual', 'generalization', 'hominem', 'burden', 'item', 'position', 'composition', 'inductive', 'accident', 'property', 'ergo', 'propter', 'legalize', 'faith']"
